Program,Basic_Expenses,Basic_Income,Supported_Income,Other sources,Other support,Loans - over graduate program so far
MSc,2151.67,2166,2966,800,0,0
MSc,2680,1200,1200,0,0,0
MSc,2159.67,1500,1500,0,0,2000
MSc,2123.33,2000,2000,0,0,0
MSc,2471.67,1300,1300,0,0,0
MSc,1700,2250,2250,0,0,0
MSc,1677.5,2826,3106,80,200,0
MSc,2933.33,2000,3200,1200,0,0
MSc,2633.33,1600,1600,0,0,0
MSc,2685,2600,3100,0,500,0
MSc,1811.67,1500,2300,0,800,18000
MSc,2596.67,2166,2166,0,0,3000
MSc,1860,2200,2200,0,0,5000
MSc,1795,3000,3000,0,0,0
MSc,4416.67,2500,4500,0,2000,0
MSc,1775,0,0,0,0,0
MSc,2966.67,2500,3000,0,500,0
MSc,2334.67,2500,3700,1200,0,4000
MSc,2410,2200,2600,400,0,0
MSc,2567.83,1511,1511,0,0,0
MSc,1766.67,2000,2000,0,0,8000
MSc,1956.67,1500,2700,1200,0,0
MSc,3550,2700,3500,0,800,0
MSc,3600,3600,3600,0,0,20000
MSc,1441.67,2300,2300,0,0,0
MSc,1826.67,2000,2000,0,0,0
MSc,1841.67,2800,2800,0,0,0
MSc,1650,5600,5600,0,0,0
MSc,2498.33,3050,3050,0,0,0
MSc,1766.67,4166,4166,0,0,8000
MSc,1817.67,0,0,0,0,0
MSc,1400,0,0,0,0,0
MSc,2366.67,0,0,0,0,0
MSc,2650,2700,3200,0,500,0
MSc,1730,0,0,0,0,0
PhD,2158.35,1670,1670,0,0,0
PhD,3283.33,2500,4500,0,2000,20000
PhD,2575,2400,2400,0,0,0
PhD,1950,3900,3900,0,0,3000
PhD,3800,2250,6250,4000,0,10000
PhD,1885,2500,2500,0,0,0
PhD,2450,2300,2800,0,500,0
PhD,3033.33,2400,2900,0,500,0
PhD,2408.33,2666.67,2666.67,0,0,0
PhD,2250,2000,3300,1000,300,4000
PhD,1850,2000,2000,0,0,0
PhD,2566.67,2000,2660,360,300,0
PhD,3573,2000,4500,0,2500,0
PhD,2650,2000,2000,0,0,0
PhD,1835,2166.68,2166.68,0,0,0
PhD,2383.33,2000,2000,0,0,0
PhD,2500,2250,4250,2000,0,0
PhD,2436.67,3934,4734,0,800,0
PhD,2883.33,3600,4100,0,500,40000
PhD,3166.67,1500,3700,2200,0,10000
PhD,4088.33,2766,2766,0,0,0
PhD,2200,2500,2500,0,0,0
PhD,2441.67,2800,2800,0,0,0
PhD,1928.33,2600,2600,0,0,0
PhD,2200,2500,2500,0,0,0
PhD,2300,4555,4555,0,0,0
PhD,2186.67,2250,2250,0,0,0
PhD,2816.67,2450,2950,0,500,0
PhD,3600,3000,3000,0,0,0
PhD,2383.33,1500,3000,1500,0,0
PhD,2245,2500,2500,0,0,0
PhD,2198.33,2140,2140,0,0,0
PhD,2290,3333,3333,0,0,5000
PhD,2101.67,2250,2250,0,0,0
PhD,4802.67,2500,10000,7500,0,150000
PhD,1725,2900,4700,0,1800,10000
PhD,2280,2500,2500,0,0,0
PhD,5301.67,2520,2520,0,0,0
PhD,3350,2000,2000,0,0,0
PhD,2875,2066,2066,0,0,0
PhD,2570,2500,2500,0,0,0
PhD,3341,4000,4700,0,700,0
PhD,4708.33,2100,5100,2000,1000,10000
PhD,3833.33,1466,1466,0,0,0
PhD-Track,2016.67,1800,3200,1400,0,16000
PhD-Track,1786.67,1600,3100,0,1500,0
PhD-Track,2583.33,2700,2900,0,200,0
PhD-Track,3816.67,800,800,0,0,20000
PhD-Track,2245.08,2800,3300,0,500,0
PhD-Track,1251.67,1622.44,1989.44,167,200,0
PhD-Track,1938.67,2000,2000,0,0,0
PhD-Track,1775,2800,2800,0,0,0
